1,0.6505,training
2,0.7772,training
3,0.8199,training
4,0.8474,training
5,0.8647,training
6,0.8818,training
7,0.8948,training
8,0.9028,training
9,0.9122,training
10,0.9211,training
11,0.9253,training
12,0.9312,training
13,0.9394,training
14,0.9455,training
15,0.9451,training
16,0.9523,training
17,0.9551,training
18,0.9562,training
19,0.9577,training
20,0.9625,training
21,0.9659,training
22,0.9645,training
23,0.9659,training
24,0.9685,training
25,0.9688,training
26,0.9704,training
27,0.9722,training
28,0.975,training
29,0.975,training
30,0.974,training
1,0.7647,test
2,0.8082,test
3,0.7929,test
4,0.8228,test
5,0.8475,test
6,0.8572,test
7,0.8689,test
8,0.8533,test
9,0.8705,test
10,0.8647,test
11,0.8524,test
12,0.8315,test
13,0.8641,test
14,0.8714,test
15,0.8559,test
16,0.8582,test
17,0.8719,test
18,0.8703,test
19,0.869,test
20,0.8621,test
21,0.874,test
22,0.8661,test
23,0.8665,test
24,0.8663,test
25,0.857,test
26,0.8645,test
27,0.8606,test
28,0.8696,test
29,0.8673,test
30,0.875,test
1,0.864,augmented
2,0.8668,augmented
3,0.8825,augmented
4,0.8769,augmented
5,0.8838,augmented
6,0.8884,augmented
7,0.8728,augmented
8,0.8936,augmented
9,0.8982,augmented
10,0.9002,augmented
11,0.9027,augmented
12,0.9002,augmented
13,0.8981,augmented
14,0.9001,augmented
15,0.9014,augmented
16,0.9023,augmented
17,0.9039,augmented
18,0.9039,augmented
19,0.9021,augmented
20,0.8984,augmented
21,0.9086,augmented
22,0.9048,augmented
23,0.9055,augmented
24,0.9075,augmented
25,0.9115,augmented
26,0.9109,augmented
27,0.9041,augmented
28,0.8964,augmented
29,0.9154,augmented
30,0.9111,augmented
